Year,United States,Washington DC,Alabama,Alaska,Arizona ,Arkansas,California,Colorado,Connecticut ,Delaware ,Florida ,Georgia,Hawaii ,Idaho,Illinois,Indiana ,Iowa ,Kansas,Kentucky,Louisiana,Maine ,Maryland,Massachusetts ,Michigan,Minnesota,Mississippi ,Missouri ,Montana,Nebraska,Nevada,New Hampshire ,New Jersey,New Mexico,New York,North Carolina ,North Dakota,Ohio,Oklahoma ,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia ,Washington,West Virginia,Wisconsin ,Wyoming 
1984,22415,20408,17310,32356,21425,36181,25287,25801,29951,25819,19785,19984,28877,21092,23752,22965,19863,24629,17680,18949,20648,29708,26959,22965,24436,15430,20775,19536,21397,25776,25914,27776,20630,22027,20569,20771,23123,21148,21399,20346,21612,20309,19409,16782,23024,23057,22578,26525,25017,16843,20743,23816
1985,23618,21076,18333,34782,23877,38946,26981,28182,31090,22980,21343,21049,28961,20761,24870,24242,20927,22788,17361,21179,20519,30136,28207,24242,23856,16413,21939,20236,21799,23274,26403,30980,20423,23639,21451,21205,25174,21205,21894,22877,24625,20036,18142,17778,23743,25238,26000,28429,24000,15983,23246,22081
1986,24897,24322,19132,31356,25500,41082,29010,27192,32721,25626,22849,24370,29003,20749,26511,26605,22459,23926,19874,20890,23424,30604,30339,26605,26443,16513,21925,20328,21772,26217,30548,31715,19845,25025,21861,21508,25115,20948,24773,23807,26540,21968,19898,18256,24162,26281,24599,29715,26881,16464,26430,23559
1987,26061,27455,19734,33233,26749,39921,30146,26476,32862,29244,24489,26714,35022,20755,27084,27702,22190,25583,20673,21349,23600,34970,32241,27702,28082,18513,23720,20474,23268,26878,32338,34241,20758,26384,22760,22576,25773,21691,25038,25424,28292,25049,21151,21179,24721,26529,25415,29996,27319,17207,26369,27590
1988,27225,26741,19948,33103,26435,41282,30287,26214,36213,30505,25406,26566,33024,23450,29524,29472,24305,25566,19907,20497,26402,36552,33213,29472,29087,18166,23443,22231,25159,27983,34625,36287,19296,28915,24415,24092,27740,23667,27748,26742,29842,25533,22294,20856,24963,26313,28988,32648,32327,19353,29575,26419
1989,28906,26752,21284,36006,28552,42025,33009,26806,42321,32068,26085,27542,35035,24654,31300,30775,26265,26862,23283,22861,28221,36016,36086,30775,30185,19917,26497,23692,26319,29340,37532,39120,22602,31496,26406,25229,29021,23667,28529,28690,30124,23798,24108,22611,25886,30717,31295,34118,31961,21677,29123,29521
1990,29943,27392,23357,39298,29224,42578,33290,30733,38870,30804,26685,27561,38921,25305,32542,29937,27288,29917,24780,22405,27464,38857,36247,29937,31465,20178,27332,23375,27482,32023,40805,38734,25039,31591,26329,25264,30013,24384,29281,29005,31968,28735,24571,22592,28228,30142,31098,35073,32112,22137,30711,29460
1991,30126,29885,24346,40612,30737,42254,33664,31499,42154,32585,27252,27212,37246,26116,31884,32117,28553,29295,23764,25299,27868,36952,35714,32117,29479,19475,27926,24827,29549,32937,36032,40049,26540,31794,26853,25892,29790,25462,30190,30367,30836,27463,24639,24453,27733,28016,29155,36137,33970,23147,31133,29050
1992,30636,30247,25808,41802,29358,42015,34903,32484,40841,35678,27349,28797,42113,27704,31551,32267,28743,30346,23485,25439,29617,37203,36359,32267,30981,20570,27361,26525,30048,31908,39436,39000,25860,31051,27771,26959,31404,25284,31927,29882,30432,27578,26259,24318,27953,34251,32755,38198,33900,20271,33308,30209
1993,31241,27304,25082,42931,30510,39535,34073,34488,39516,36064,28550,31663,42662,31010,32857,32662,28663,29770,24376,26312,27438,39939,37064,32662,33682,22191,28682,26470,31008,35814,37964,40500,26758,31697,28820,28118,31285,26260,33138,30995,33509,26053,27737,25102,28727,35786,31065,36433,35655,22421,31766,29442
1994,32264,30116,27196,45367,31293,42972,35331,37833,41097,35873,29294,31467,42255,31536,35081,35284,33079,28322,26595,25676,30316,39198,40500,35284,33644,25400,30190,27631,31794,35871,35245,42280,26905,31899,30114,28278,31855,26991,31456,32066,31928,29846,29733,28639,30755,35716,35802,37647,33533,23564,35388,33140
1995,34076,30748,25991,47954,30863,42370,37009,40706,40243,34928,29745,34099,42851,32676,38071,36426,35519,30341,29810,27949,33858,41041,38574,36426,37933,26538,34825,27757,32929,36084,39171,43924,25991,33028,31979,29089,34941,26311,36374,34524,35359,29071,29578,29015,32039,36480,33824,36222,35568,24880,40955,31529
1996,35492,31966,30302,52779,31637,43364,38812,40950,42119,39309,30641,32496,41772,34709,39554,39225,33209,32585,32413,30262,34696,43993,39494,39225,40991,26677,34265,28684,34014,38540,39407,47468,25086,35410,35601,31470,34070,27437,35492,34899,36986,34665,29526,30790,33072,37038,32358,39211,36676,25247,40001,30953
1997,37005,31860,31939,47994,32740,40942,39694,43233,43985,43033,32455,36663,40934,33404,41283,38742,33783,36471,33452,33260,32772,46685,42023,38742,42564,28499,36553,29212,34692,38854,40998,48021,30086,35798,35840,31661,36134,31351,37247,37517,34797,34262,29694,30636,35075,42775,35053,42957,44562,27488,39595,33423
1998,38885,33433,36266,50692,37090,42716,40934,46599,46508,41458,34909,38665,40827,36680,43178,41821,37019,36711,36252,31735,35640,50016,42345,41821,47926,29120,40201,31577,36413,39756,44958,49826,31543,37394,35838,30304,38925,33727,39067,39015,40686,33267,32786,34091,35783,44299,39372,43354,47421,26704,41327,35250
1999,40696,38670,36251,51396,36995,44875,43629,48177,50593,46628,35831,39425,44504,35800,46330,46089,41098,37348,33738,32654,38862,52205,44005,46089,47038,32478,41383,31038,38626,41461,46055,49734,32574,39989,37254,32663,39489,32683,40619,37758,42719,36462,35828,36522,38688,46050,41584,45693,45473,29297,45667,37248
2000,41990,41222,35424,52847,39783,43424,46816,48240,50172,50365,38856,41901,51546,37611,46064,45512,40991,41059,36265,30718,37266,54535,46753,45512,54251,34299,45097,32777,41750,45758,50926,50405,35093,40744,38317,35996,42962,32432,42499,42176,42197,37570,36475,34096,38609,47550,39594,47163,42525,29411,45088,39629
2001,42228,41169,35160,57363,42704,47400,47262,49397,53347,49602,36421,42576,47439,38241,46171,45047,40976,41415,38437,33322,36612,53530,52253,45047,52681,30161,41339,32126,43611,45403,51331,51771,33124,42114,38162,35793,41785,35609,41273,43499,45723,37736,39671,35783,40860,47342,40784,50241,42490,29673,45346,39719
2002,42409,39070,37603,52774,39734,45332,47437,48294,53387,49650,38024,42939,47303,37715,42710,42715,41049,42619,36762,34008,36853,56407,49855,42715,54622,30882,42776,34835,42796,44958,55321,54568,35457,41996,36515,36200,42684,36458,41802,42498,42417,37812,37873,37030,40149,47861,42999,49631,45183,29359,45903,39763
2003,43318,45044,37255,51837,41166,43798,49300,49940,54965,49019,38972,42438,51834,42372,45153,45022,41384,44232,36936,33507,37113,52314,50955,45022,52823,32728,43762,34108,43974,45184,55567,56045,35105,42788,37279,40410,43520,35902,41638,42933,44711,38479,39522,37523,39271,49275,43261,54783,47508,32763,46269,42555
2004,44334,43451,36629,55063,43846,46620,49222,50886,55100,48049,40535,40984,56242,44358,46077,42256,43391,41066,35610,36429,41329,57103,52019,42256,56104,34755,42137,33956,43786,47204,56815,55275,39562,44649,40238,39220,43055,39614,40994,44106,47935,38691,41107,38072,41397,50871,47329,51141,49922,33373,45732,45397
2005,46326,44993,37150,55891,45245,47250,51755,50449,56835,51235,42990,45926,59586,44176,48398,45933,46500,42027,36699,37236,43923,60512,56017,45933,54215,32875,42986,37313,47923,48209,56984,63368,38947,47176,42056,42192,44203,37645,44159,46300,49484,40230,43151,39406,41422,54813,50704,51914,50646,36445,44650,44718
2006,48201,48477,37952,56418,46657,46265,55319,55697,62404,52438,45676,49344,60470,46213,48671,48647,48126,45552,39485,36488,45642,63668,55330,48647,56211,34733,44579,41105,48145,52282,61970,68059,40028,48222,39797,41047,45900,38838,47091,48477,53736,39617,45427,40693,43307,54628,51981,57119,54723,38419,51692,47041
2007,50233,50783,42212,62993,47215,49527,55734,61141,64141,54589,45794,48641,64022,49184,52506,49370,48908,48497,39452,41313,47894,65630,58463,49370,58058,37279,46005,43655,49174,54058,67576,60508,44356,48944,43513,47205,49099,43216,50236,48437,54210,44213,46418,41195,46053,53529,47390,59161,58080,42091,51277,48744
2008,50303,55590,44476,63989,46914,46282,57014,60943,64682,50702,44857,46227,61521,47420,53254,49788,50142,47877,41148,39563,47228,63711,60320,49788,54925,36446,46038,42900,50728,54744,66176,65306,42102,50461,42930,49631,46934,46111,51727,51402,53241,42155,51600,39702,46490,62537,50706,61985,56631,37994,51200,53337
2009,49777,53141,39980,61604,45739,42867,56134,55930,64851,52114,45631,43340,55649,46778,52870,45994,50721,44717,42664,45433,47502,64186,59373,45994,56090,35078,48769,40417,49595,51434,64131,64777,43542,50216,41906,50075,45879,45878,49098,48172,51634,41101,45826,40517,47475,58491,52318,60501,60392,40490,51237,52470
2010,49276,56928,40933,57848,46896,44536,54283,60233,65998,55214,44066,44117,59539,47050,50728,46276,49016,46054,41104,39300,47931,64201,60934,46276,52321,38160,45817,41280,52504,51200,66633,62968,45134,49781,43830,51006,45886,43103,50602,48314,51623,41698,45352,38591,47266,56701,55928,60367,56163,42777,50351,52201
2011,50054,55251,42590,57431,48621,46213,53367,58629,65415,54660,45105,45973,59047,47459,50637,48879,50219,46147,39856,40658,49693,68876,63313,48879,57820,41090,45774,40277,55616,47043,65880,62338,41982,50636,45206,56361,44648,48455,51526,49910,49033,40084,47223,42279,49047,55493,51862,62616,56850,41821,52058,54509
2012,51017,65246,43464,63648,47044,42752,57020,57255,64247,48972,46071,48121,56263,47922,51738,50015,53442,50003,41086,39085,49158,71836,63656,50015,61795,36641,49764,45088,52196,47333,67819,66692,43424,47680,41553,55766,44375,48407,51775,51904,56065,44401,49415,42995,51926,58341,55582,64632,62187,43553,53079,57512
2013,53585,60057,47320,72472,52611,42515,60794,67912,69291,54091,48532,46992,64235,48467,53937,56567,60156,47820,44879,46425,54957,69353,62529,56567,64324,32338,46303,43201,57623,51846,69099,63754,40166,49966,46337,59152,50748,46162,48999,55156,56323,43563,53413,43361,51406,61047,65513,65907,63922,43069,51726,67441
2014,53657,68277,42278,67629,49254,47695,60487,60940,70161,57522,46140,49555,71223,53438,54916,52005,57810,53444,42786,42406,51710,76165,63151,52005,67244,35521,56630,51102,56870,49875,73397,65243,46686,54610,46784,60730,49644,47199,58875,55173,58633,44929,53053,43716,53875,63383,60708,66155,59068,39552,58080,55690
2015,56516,70071,44509,75112,52248,45362,63636,66596,72889,57756,48825,50768,64514,51624,60413,54203,60855,54865,42387,45922,50756,73594,67861,54203,68730,40037,59196,51395,60474,52008,75675,68357,45119,58005,50797,57415,53301,47077,60834,60389,55701,46360,55065,47330,56473,66258,59494,61486,67243,42824,55425,60925
2016,59039,70982,47221,75723,57100,48037,66637,70566,75923,58046,51176,53527,72133,56564,61386,57091,59094,56810,45369,42196,50856,73760,72266,57091,70218,41099,55016,57075,59374,55431,76260,68468,48451,61437,53764,60184,53985,50943,59135,60979,61528,54336,57450,51344,58146,67481,60837,66451,70310,44354,59817,57829
2017,61136,81282,50865,77987,59700,50964,70038,74984,74304,64961,53086,57985,73599,59497,65969,56405,63467,56900,51348,43565,53316,82093,76243,56405,69975,43281,56530,59087,59583,58041,75630,71240,45601,61543,49547,60167,60688,51882,62498,61285,65401,54537,56914,55306,60092,69789,63682,70811,71540,46957,63482,59536
2018,63179,85750,49936,68734,62283,49781,70489,73034,72812,65012,54644,55821,80108,58728,70145,60449,68718,63938,54555,49973,58663,86223,86345,60449,71817,42781,61726,57679,67575,61864,81346,74176,48283,67274,53369,66505,61633,54434,69165,64524,62266,57444,59463,56060,59785,77067,70066,77151,79726,50573,62629,62539
